base_sigma,in_paper_window,theoretical_VR_m1,R2_m1,z_naive,z_eff,naive_exact,eif_exact,gap_exact,naive_tau,eif_tau,gap_tau
7.58462011471337,False,0.9807269224570508,0.9903165768869321,0.2077748444138557,1.5015423984972183,0.259745,0.86647,0.606725,0.21596333333333328,0.90998,0.6940166666666667
8.743465005583746,False,0.9854449877161979,0.9926958183231145,0.18031665423542906,1.4988729571790815,0.247135,0.86744,0.620305,0.19017333333333333,0.9106566666666666,0.7204833333333333
10.079368399158986,False,0.9890177680955992,0.9944937245129298,0.15647784515721153,1.4968600030219332,0.23543,0.86599,0.63056,0.1639233333333333,0.9096033333333333,0.74568
11.619382848914599,False,0.9917190752570952,0.9958509302386052,0.1357836638143526,1.4953426618376562,0.22433,0.864855,0.640525,0.1416233333333333,0.9088299999999998,0.7672066666666665
13.394694235098687,False,0.9937590848253565,0.9968746585330357,0.11782104275268046,1.4941992551268117,0.21817,0.864755,0.6465850000000001,0.12575666666666666,0.9087333333333334,0.7829766666666668
15.44125329070691,False,0.9952983241447001,0.9976463923378364,0.1022307346713925,1.4933378413504819,0.210665,0.865375,0.65471,0.11012,0.9092,0.79908
17.80050361754378,False,0.9964589450071903,0.9982279023385343,0.08870041116136504,1.492689002839691,0.20438,0.86392,0.65954,0.09564999999999999,0.9082999999999999,0.8126499999999999
20.520220934973313,False,0.997333639265316,0.9986659297609567,0.07695861785557859,1.4922003604303855,0.19899,0.86409,0.6651,0.08118666666666667,0.9083000000000001,0.8271133333333335
23.655480556466397,False,0.9979925972397973,0.9989957944054606,0.06676948719733249,1.4918324109525503,0.191835,0.8653,0.673465,0.06874333333333335,0.9090733333333334,0.84033
27.269772685714383,False,0.9984888869901534,0.9992441578463961,0.057928119385827606,1.49155537384237,0.190485,0.865685,0.6752,0.06052666666666667,0.9091966666666664,0.8486699999999998
31.43628811748044,False,0.9988625840132969,0.9994311302002239,0.05025655113167408,1.4913468053694892,0.186365,0.864315,0.67795,0.05268333333333333,0.9085633333333332,0.8558799999999999
36.23940037912176,False,0.9991439254912686,0.9995718710984561,0.04360024043597685,1.4911897954878535,0.18436,0.863325,0.678965,0.04430333333333334,0.9078099999999999,0.8635066666666665
41.77637432671388,False,0.9993557104162855,0.9996778033027869,0.0378250035773215,1.491071606140734,0.18179,0.862475,0.680685,0.04253333333333333,0.9072533333333332,0.8647199999999999
48.159335795500645,False,0.9995151207771896,0.9997575309929851,0.03281434779734755,1.4909826436115612,0.179845,0.864785,0.68494,0.03512333333333334,0.9087233333333333,0.8735999999999999
55.5175421908431,False,0.9996351005702723,0.9998175336381495,0.028467149804921144,1.4909156833757753,0.17733,0.86357,0.68624,0.02903666666666667,0.9079833333333335,0.8789466666666668
64.0,False,0.9997253983643635,0.99986268975513,0.024695636186828435,1.4908652856564983,0.176335,0.864195,0.68786,0.026033333333333335,0.90846,0.8824266666666667
